person,label
4886f805,0.0045896964
0297fc1e,0.036274917
2d681dd8,0.006394686
cccea85e,0.086678185
4c8a8b93,0.017407853
29ebb414,0.0065133967
3dc1950f,0.0451308
8ea4c165,0.016657969
d8cfe234,0.022720419
d6bc64df,0.018897025
ec9c4059,0.028650435
d21b8e6b,0.0061317803
2a724d87,0.004690928
686c49c9,0.17694645
a08d42ea,0.017269915
c98f5cf1,0.044203755
d614c608,0.007655522
e45acd53,0.31704852
7d876393,0.04336088
f5af843f,0.03977054
5a724794,0.06075473
00091926,0.032065663
55d1e0ee,0.023249466
f87be219,0.0050581573
49c19e32,0.012735807
bb78c182,0.004052979
e2bfe05f,0.0050135846
0e9d0ae2,0.005614555
cb68850c,0.0045098825
f30ef764,0.00492847
ca5fa859,0.008133798
4f06f2dd,0.008189149
872d9b83,0.2580282
dca7e4fa,0.016475366
3cb2bfc5,0.004304098
0ec008ff,0.2996906
19876c5b,0.06842833
36606944,0.060451835
3c36c384,0.008219596
25ec69e5,0.0070870034
02a9fd4c,0.028397439
e9c847d7,0.030447727
8f7d334b,0.015287564
fd683087,0.024855241
aa5593bc,0.023873929
e39a4b4f,0.023566486
8aeb37ef,0.019620651
c76b8417,0.04636354
b51c3897,0.031590987
49013e40,0.21219563
18ad1f7c,0.033663023
ea679233,0.2286187
39df97e0,0.102466546
4473cb91,0.012971693
a90bb821,0.08477093
66f3c5a8,0.02337403
6972936f,0.016354742
f484e20b,0.21493335
bb5c496a,0.08875429
fa15dd75,0.35645276
8036d563,0.011142196
051b11a7,0.027784577
a708f6b7,0.015219299
8af64425,0.056174096
290a4ade,0.05307866
5ea8fd22,0.01872066
73f02c61,0.07635507
b364ac0f,0.025350155
27c4deeb,0.0380209
1a8f3e6d,0.08183419
75aea7ed,0.01978859
68bee360,0.09481352
7363f782,0.037657257
5f5a1be2,0.044618994
f2ab91ec,0.05663232
f7e13865,0.02752415
f70a331b,0.04119875
69fe770b,0.032298524
73b5ddeb,0.0377356
3aae4375,0.053129096
2beddf66,0.013991787
17b858f9,0.014670794
f75b14e8,0.02391508
67ec6a13,0.16336524
2466dcee,0.36807021
bbac557c,0.044420533
57d078f9,0.1473648
6791adff,0.024375577
2fca45c7,0.13817024
ee7d1909,0.019070772
b87bf3c0,0.07084421
229a0726,0.02021035
e28fa553,0.0821429
e2d69e04,0.08330769
f99328eb,0.038005732
7a98e5bb,0.011731319
60d720a3,0.008964371
8f6d708a,0.03327185
91a293e8,0.09196293
dbff7610,0.03139051
c104bc78,0.08924995
b3bf2435,0.3051677
8611216e,0.26795244
2454293c,0.012617616
82d31364,0.048091825
f1f2d6aa,0.017841017
45599974,0.11143483
b8112306,0.00868884
7e317918,0.010810104
a30504be,0.027065309
f88200f4,0.06071829
97267956,0.052741185
2fec9bbc,0.049951024
4e5d317d,0.010974742
f8e37457,0.039911076
9411a009,0.021674601
166bf528,0.13491052
5429fbb6,0.021827035
49ff6d6e,0.07512745
19c94e0b,0.07260016
0ff75b46,0.1728026
224613bb,0.056606013
179720f1,0.059498563
1070bca3,0.036448468
a5d31df5,0.018495865
4e5c868d,0.11039302
653f68fe,0.009140974
3ebc771d,0.16617855
517bf648,0.1253329
254f8761,0.06655233
c844a662,0.14903654
7f6c85e8,0.005771766
35ee0cc8,0.13541742
c1d99fe2,0.056206338
55fc24ef,0.056801725
77e489c7,0.024948774
62ba2fba,0.015013894
ae4bfc26,0.027492993
22f1d021,0.027089722
72368746,0.006634925
55e87de8,0.4540605
c56dff49,0.01832435
ba724fb6,0.016812874
b97b9d93,0.00868884
7025ac12,0.086475916
bada76d3,0.20140216
70a325eb,0.28526226
fb19ca5a,0.037968423
f6cd21a1,0.026177568
91752493,0.005341662
92059fdf,0.006662487
4d233ac6,0.07316847
46a1efca,0.025489038
23b90f81,0.021910368
2606c8da,0.011093907
23e6906d,0.023707824
cf75487d,0.006634925
e349f752,0.0792856
d4e83772,0.088145405
9952a8e0,0.005341662
edc38036,0.3514725
e4b71e52,0.118461534
ed39978f,0.32678488
5b7a7697,0.25421572
a4e3e0ba,0.005341662
1033c7f1,0.006634925
a16a0211,0.048396524
2df10e76,0.04437588
732df811,0.11924523
80c8726f,0.023460604
619bff69,0.00868884
ed7382a8,0.030318175
3043e183,0.049000125
8ab5791a,0.0480995
6929face,0.039973248
6b5088da,0.06943041
685dc7f7,0.020639554
919bcd48,0.055313293
9a00037e,0.019409372
55f7ae64,0.010978127
fed81014,0.13843718
fd5e4491,0.017584123
e9c994b8,0.04486952
e4594222,0.025551466
a7b6e286,0.043752376
991360db,0.01578433
c5a0bc36,0.13655522
2287c9f7,0.1076406
0c9d90d6,0.009131598
41bfa3b9,0.023507034
b00a6f27,0.18581428
8a4b69ec,0.10549879
6ea9ffd2,0.048844345
d0c5aa85,0.032227427
fc4b841d,0.17494328
db1a3c00,0.013462245
9b4f540a,0.00868884
7ac0c607,0.06688629
af95a93c,0.011514894
a8ca0988,0.12232136
e8a1b038,0.005341662
bb31d716,0.013856831
b86b400e,0.009230182
852abc08,0.009626539
ad4b1e5f,0.19608486
2ff5b818,0.005341662
bf15584a,0.04307514
4a3c0db7,0.005341662
5f7f0c55,0.27135366
9df0e397,0.05643703
03302054,0.11763658
000e4d9e,0.060475696
ad5943a9,0.033829045
f431031a,0.006634925
ee8dd67c,0.006634925
656072a3,0.014924896
846372d4,0.077644475
d1fd6caa,0.047835615
8a0a63af,0.048062988
670639bc,0.05715303
ae5b92db,0.021032324
41ccd2c6,0.027400382
bdd23ab2,0.09324017
270b42e3,0.023047632
ef8b96c3,0.033869505
bb8116c9,0.16775264
594a53d3,0.016993314
108caf2c,0.07713342
18a185e1,0.005341662
ff9fc164,0.019890513
8a590d23,0.033767063
166a19f7,0.18536076
ee20c405,0.013494601
814db0b5,0.06393282
b0f9b8a1,0.011818972
73ffc5f4,0.006634925
0aa2b925,0.025172872
f4bae3c6,0.005341662
92c81866,0.024468474
6f0826b2,0.034328934
d1a14d14,0.026009636
1e13d639,0.18729354
3956b1e1,0.014419411
f2c6d57c,0.005341662
29f80519,0.005341662
04b13fd2,0.053064916
ce36e512,0.12782286
8a4ba4e2,0.057607386
1443cf62,0.023936141
5125c494,0.009955144
604d8035,0.047268122
80866567,0.011524058
9bb623c2,0.040996496
a53a1a30,0.04335223
103e0f7d,0.33664998
cd3a841d,0.005771766
fb6b16a8,0.029840324
89f62393,0.022464009
2c85b2fa,0.04838613
75950669,0.0564344
d84ae194,0.0516269
77bad6f5,0.005771766
2b213b2c,0.56125355
8808e6a9,0.05186577
b5a09122,0.13867252
bf46c410,0.03608918
42cc8a1d,0.29392463
0744ba92,0.04835495
b9996281,0.16268188
471fb833,0.013235999
c449fd13,0.015921738
b059104a,0.022737712
ba61790b,0.006634925
deb5fa7a,0.11477803
71d5d6e4,0.024899377
766c271c,0.04549708
df127511,0.24259177
f7e04556,0.010876324
abe38822,0.021070343
0e3c91a6,0.015408478
efae8f71,0.049534507
31c9f140,0.04209462
aefc81ce,0.011154764
1fea3435,0.0070269043
54d47ad8,0.016015232
df80a783,0.15333661
9bc43f7e,0.051300712
3e066076,0.088994704
67bdc946,0.20991558
32234ad9,0.0314305
77b15b7d,0.012535792
2e515d51,0.013929337
37a0837e,0.0033297243
3dbfcd14,0.030173087
5fdd715e,0.03488727
1d762b15,0.017475286
9a0373f1,0.0075196433
9bf77a71,0.071341544
32e355cf,0.02333293
134cc999,0.190568
3a44e639,0.077557184
2c90f768,0.015038461
fb23d1c3,0.029564295
a5d3c172,0.102168635
583bd9b9,0.1253329
f5e0b71d,0.1525769
360675d0,0.1525769
cb61f387,0.033119664
017fd805,0.050393574
99e4baf5,0.06963819
56b0c4d1,0.15876186
b5ea45de,0.00868884
